class,x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32
1,0.19537589,0.293544084,0.258648574,0.999998629,0.184106871,0.296106607,0.287970901,0.999995768,0.185167268,0.296992898,0.287936449,0.999993742,0.186150521,0.298326463,0.287831068,0.999995828,0.178921357,0.304766059,0.260432631,0.999998331,0.176469952,0.311673909,0.260420024,0.99999851,0.173954561,0.31962207,0.26030916,0.999998927,0.187232569,0.331020445,0.400749117,0.999991477,0.169814795,0.361708313,0.274964571,0.999998331,0.209391519,0.308499455,0.298137337,0.999989986,0.202542394,0.318350017,0.261142284,0.999996126,0.288662851,0.355781019,0.455712497,0.999867141,0.193934679,0.451254755,0.129116803,0.99999851,0.354440957,0.33806181,0.521815181,0.441677153,0.270456284,0.500434875,-0.035398856,0.994362652,0.444390833,0.26527521,0.432718456,0.44422254,0.397667706,0.42199859,-0.168521971,0.975822866,0.468131602,0.34330219,0.41569218,0.374816388,0.429895878,0.430504441,-0.19081457,0.960936546,0.471239805,0.349643797,0.386874825,0.37824896,0.436908871,0.407720268,-0.173811927,0.958416402,0.45792824,0.348726034,0.41476655,0.392314583,0.423828542,0.405307859,-0.158972234,0.950235009,0.461448997,0.417290032,0.101432994,0.999930561,0.421859205,0.505401194,-0.101481758,0.999967754,0.681325078,0.264772534,-0.032922406,0.88650167,0.622136235,0.422815025,-0.227063864,0.995612741,0.700725615,0.659410298,0.020195434,0.838340282,0.653010845,0.803251982,-0.261398643,0.991775393,0.684550643,0.712085783,0.025237992,0.827505112,0.640644312,0.868848085,-0.258412093,0.970352113,0.797916114,0.757529795,0.006834205,0.861374676,0.759356618,0.914629996,-0.291149288,0.984361053
1,0.194690675,0.295907855,0.257479966,0.999998391,0.182830334,0.299212247,0.285629094,0.999994814,0.183803469,0.300287902,0.285605967,0.999992371,0.184688941,0.301854014,0.285485953,0.999994874,0.17772381,0.307731748,0.257578194,0.999997973,0.175273225,0.314491957,0.257573485,0.999998152,0.172779128,0.322251916,0.25747937,0.999998629,0.18527782,0.335339546,0.393599927,0.999989629,0.168561608,0.363989949,0.269498795,0.999997854,0.208513528,0.310539544,0.294757545,0.999988675,0.201799348,0.320270926,0.257219315,0.99999547,0.286735654,0.35997355,0.446942627,0.999867857,0.192174047,0.453760058,0.126346022,0.99999845,0.350901157,0.322902143,0.489306211,0.430711657,0.269959867,0.500594914,-0.034251906,0.99401772,0.422283977,0.234697729,0.40446955,0.432207197,0.396589518,0.420195371,-0.157417119,0.974810004,0.440338761,0.199029937,0.38267988,0.366334379,0.428722858,0.428726375,-0.176087454,0.960242689,0.440342724,0.20836705,0.355132163,0.36978054,0.434982926,0.406417876,-0.16404295,0.957672298,0.432604402,0.239044145,0.385622203,0.382293105,0.422033221,0.403997242,-0.149205402,0.949155927,0.461016595,0.416824311,0.102841675,0.999929845,0.42123276,0.503435671,-0.102876246,0.999966681,0.680948377,0.270152032,-0.034421183,0.888131618,0.621136189,0.42659235,-0.240274101,0.995720923,0.700655878,0.664903045,0.021278333,0.841504335,0.6521312,0.810937285,-0.262022227,0.992006481,0.685812831,0.713225126,0.025754932,0.829654157,0.639992058,0.868859231,-0.258335352,0.971026599,0.797202647,0.759349048,0.001303226,0.863608539,0.7593292,0.915361226,-0.292285889,0.984711349
1,0.191498488,0.298738748,0.250185877,0.999998391,0.179662675,0.302912295,0.27828151,0.999994755,0.180679828,0.304103673,0.278257251,0.999992371,0.181569383,0.305832356,0.278138876,0.999994814,0.174732298,0.311558157,0.251705348,0.999997973,0.172491074,0.318407327,0.251685739,0.999998152,0.170182854,0.326326907,0.251581401,0.999998629,0.182212085,0.34038505,0.392012835,0.999989748,0.166493505,0.368687153,0.259157062,0.999997914,0.205542326,0.312676132,0.28769654,0.999988794,0.199146792,0.322648555,0.252168953,0.99999547,0.284930587,0.361522287,0.443742514,0.999874532,0.191590101,0.457479686,0.121629655,0.99999845,0.339559019,0.292391568,0.468284905,0.44964394,0.269961089,0.501279354,-0.035024591,0.993941545,0.345856965,0.033326682,0.39842242,0.45561415,0.395679027,0.41843465,-0.152399629,0.975172281,0.346255839,-0.041642752,0.377064496,0.385620952,0.427455187,0.427020758,-0.169898391,0.961037636,0.345077336,-0.049669527,0.346161216,0.390220582,0.433058023,0.404881597,-0.161301941,0.95855397,0.346725285,-0.006569866,0.376570582,0.402294517,0.420445055,0.402402878,-0.145638436,0.949994445,0.458612293,0.411207885,0.102577053,0.999929607,0.418065697,0.500463903,-0.102596246,0.999965847,0.680053413,0.274788111,-0.043435581,0.88661319,0.62047416,0.432504952,-0.251618415,0.995745242,0.700712562,0.668257356,0.030072903,0.836971223,0.652124822,0.820614219,-0.264027983,0.991868138,0.688639998,0.716345251,0.036047064,0.826624334,0.640086055,0.869498253,-0.259530425,0.970771313,0.797031224,0.761289239,0.010641289,0.860528052,0.759562969,0.915407181,-0.295646906,0.984567344
1,0.18930833,0.303332776,0.249985337,0.99999845,0.177467749,0.307773769,0.278058559,0.999994934,0.178529367,0.308922946,0.278070599,0.999992669,0.179455027,0.31061089,0.277954906,0.999994934,0.172574192,0.316534728,0.25110963,0.999998033,0.170414686,0.32348296,0.251115024,0.999998212,0.168183178,0.331627995,0.251051247,0.999998689,0.180546463,0.345231175,0.386617243,0.999990225,0.164916903,0.374822438,0.258579195,0.999998033,0.203622147,0.316664189,0.286625028,0.999989271,0.197236449,0.327103019,0.250730753,0.999995649,0.28442204,0.363210768,0.440795749,0.999883294,0.191200346,0.464583665,0.122845277,0.99999851,0.336959034,0.261327952,0.462294519,0.480589479,0.270147264,0.502029181,-0.021013118,0.993957996,0.33476159,0.008927379,0.392876804,0.488892585,0.39547947,0.416040719,-0.114941023,0.975706279,0.332849592,-0.063806169,0.369968951,0.414100796,0.427612245,0.424240708,-0.126595497,0.961854398,0.329213798,-0.07361006,0.339803815,0.419704735,0.432732522,0.40197736,-0.127148658,0.959465742,0.332080781,-0.033057678,0.370661944,0.431591421,0.420164347,0.399271578,-0.111379102,0.950893939,0.457586348,0.407062262,0.102418266,0.999931216,0.417294413,0.500484049,-0.10239742,0.999966025,0.679864466,0.276046008,-0.045989193,0.886499107,0.620236158,0.443530172,-0.252692074,0.995738447,0.700782239,0.669680655,0.042946078,0.831879854,0.65211904,0.827554703,-0.262283891,0.991647542,0.690902114,0.717498124,0.050246131,0.822784483,0.640539885,0.870204687,-0.257496536,0.97018218,0.796998441,0.763145983,0.023345575,0.857061327,0.759550452,0.91558069,-0.295808733,0.984359264
1,0.188414395,0.309601188,0.272404939,0.99999851,0.176722541,0.314311951,0.298638165,0.999995112,0.177805364,0.315420359,0.298664957,0.999992907,0.1787505,0.317071617,0.298533082,0.999995053,0.171612874,0.323186606,0.273310155,0.999998093,0.169335872,0.330243707,0.273321271,0.999998271,0.167028263,0.338520676,0.27326709,0.999998689,0.179771736,0.351460993,0.393357933,0.999990702,0.16392678,0.381823063,0.274946302,0.999998152,0.202662736,0.322740883,0.304003626,0.999989688,0.196233511,0.333609551,0.270171225,0.999995828,0.284382373,0.36577031,0.44206515,0.999890387,0.190880582,0.469222575,0.134078562,0.999998569,0.335185826,0.254559338,0.459456742,0.498217911,0.270530194,0.50429827,-0.01531594,0.993753016,0.332376033,0.004068917,0.377150804,0.505360723,0.394505501,0.417917132,-0.118754208,0.975618064,0.335681677,-0.081645101,0.35255599,0.425331146,0.42687735,0.425437838,-0.134680584,0.96191746,0.325314462,-0.082394034,0.322446138,0.432007521,0.431634188,0.402511567,-0.140081719,0.959591091,0.32871747,-0.039019175,0.354242623,0.445019901,0.418784618,0.399942398,-0.11951492,0.950840414,0.455590159,0.407265306,0.099916384,0.999933541,0.413097471,0.501797795,-0.099744819,0.999966621,0.679799259,0.277485967,-0.064741269,0.885328472,0.615112126,0.452298641,-0.269478023,0.995643318,0.701322854,0.67029804,0.038211316,0.821567297,0.649209976,0.833847225,-0.285423994,0.990860939,0.693077445,0.717423499,0.049457282,0.816007078,0.639624238,0.872524261,-0.281403244,0.968222618,0.796725929,0.766587317,0.013643649,0.847837389,0.754734218,0.927001953,-0.329463243,0.983102381
1,0.188714087,0.313987434,0.29852435,0.999998391,0.176836222,0.317962766,0.326782882,0.999994755,0.177963138,0.319058836,0.326791614,0.999992311,0.178934246,0.320713967,0.326652616,0.999994636,0.171717405,0.326706767,0.299052775,0.999997973,0.169534117,0.333775729,0.299049914,0.999998152,0.167238116,0.341786653,0.298961103,0.999998569,0.17986694,0.354874849,0.426473618,0.999990225,0.16396305,0.384662658,0.2982108,0.999998033,0.202835515,0.328400224,0.331800073,0.99998939,0.196326047,0.33910349,0.294647992,0.999995649,0.284624159,0.372248262,0.45996213,0.999891698,0.190123618,0.473800749,0.152967945,0.999998569,0.345801473,0.258481532,0.460034519,0.486684054,0.270537704,0.507545412,-0.012134085,0.993511558,0.336368352,0.032863304,0.385749817,0.489576489,0.392642945,0.419546247,-0.141422078,0.974792421,0.363835514,0.01145096,0.360171735,0.412094742,0.424444586,0.426926732,-0.164082393,0.961369932,0.344008535,0.01840719,0.332837403,0.418566346,0.428729147,0.40387705,-0.160802633,0.959013999,0.331511199,0.009243187,0.365231097,0.431186885,0.41590938,0.401247591,-0.139248818,0.950003445,0.453935206,0.407466114,0.099886134,0.999931276,0.409837812,0.501493514,-0.099717095,0.99996531,0.680075586,0.278187335,-0.06138593,0.885130823,0.610747695,0.455382049,-0.269668251,0.995687306,0.701353908,0.670285523,0.022050949,0.814242482,0.645284355,0.835485995,-0.302423537,0.990706623,0.69448185,0.716888666,0.030838633,0.810119748,0.637885273,0.874458313,-0.299603909,0.968043208,0.795240641,0.76763612,0.004095958,0.839126885,0.750189424,0.934349656,-0.342569768,0.982417166
1,0.188885584,0.317597747,0.314652771,0.999998391,0.176989466,0.321457326,0.34449023,0.999994934,0.178069726,0.322524816,0.344463825,0.99999249,0.179003984,0.324120849,0.344340861,0.999994755,0.171853885,0.330352038,0.317307889,0.999998033,0.169528455,0.337471843,0.317290902,0.999998212,0.167084724,0.345267266,0.317181289,0.999998629,0.179642081,0.358284831,0.451245546,0.999990404,0.163898215,0.387566596,0.325320303,0.999998093,0.202763274,0.332861573,0.351090878,0.999989688,0.196317479,0.343192488,0.31442368,0.999995768,0.284010649,0.378047377,0.489523739,0.999896109,0.189659327,0.477136493,0.169342637,0.999998689,0.367745936,0.337200314,0.505899787,0.459706843,0.270317763,0.509338975,-0.012463358,0.993531108,0.429270983,0.280794442,0.400131166,0.456774354,0.39109242,0.4200854,-0.186289847,0.975006521,0.454004675,0.268111467,0.37785852,0.387316912,0.422743499,0.427285492,-0.218021467,0.961987257,0.449784815,0.342063457,0.351407379,0.392735183,0.426263154,0.40420568,-0.197588041,0.959537208,0.443051666,0.340973824,0.382864296,0.404611439,0.413522303,0.401887536,-0.177541211,0.950531662,0.454248995,0.408745646,0.101930216,0.999935329,0.410500228,0.501543164,-0.101828173,0.999967515,0.680697501,0.278805017,-0.036019545,0.886302412,0.612493217,0.452895433,-0.256885022,0.995864749,0.701367378,0.671248138,0.018736545,0.813335538,0.643483043,0.843617797,-0.304478228,0.991101623,0.694818139,0.718836367,0.024573121,0.805143952,0.637128413,0.883451819,-0.303859502,0.968885422,0.794855833,0.769373,0.002197986,0.837012112,0.748798072,0.945845544,-0.342468441,0.982964337
1,0.188739881,0.323482871,0.319154829,0.999998331,0.176686913,0.326993376,0.349101931,0.999994934,0.177695408,0.327917814,0.349094987,0.999992371,0.178576797,0.329443306,0.34894973,0.999994695,0.171576828,0.336508632,0.321830809,0.999998033,0.16910173,0.343861759,0.32182616,0.999998152,0.166523039,0.351810783,0.321736038,0.999998629,0.178955764,0.363976389,0.452923357,0.999990404,0.16345492,0.393974751,0.326928973,0.999998093,0.202144265,0.338729143,0.353484541,0.999989808,0.195870697,0.349631608,0.316906601,0.999995828,0.283851951,0.381472796,0.482602209,0.999901056,0.189622149,0.483312488,0.174555689,0.999998748,0.366544336,0.323179036,0.500712812,0.450364679,0.270472974,0.51495713,-0.005931,0.993311405,0.382586002,0.256082505,0.403229326,0.442005306,0.390763849,0.421083331,-0.173022032,0.974298716,0.428729385,0.177334175,0.380360782,0.375098735,0.422080606,0.427391976,-0.196629077,0.96157068,0.421075583,0.220909894,0.353227317,0.379938394,0.425106853,0.404538929,-0.183107421,0.959049284,0.39816159,0.296893001,0.384560645,0.391563237,0.412623733,0.402068436,-0.165221974,0.94985491,0.45498094,0.409650773,0.102427587,0.999937713,0.410986185,0.502205431,-0.102348045,0.99996835,0.681083441,0.280922085,-0.037808035,0.886068761,0.61176616,0.449803561,-0.254732549,0.995959878,0.701353192,0.672789514,0.017535033,0.80960083,0.63910383,0.844206214,-0.302822053,0.991248131,0.694136798,0.720611632,0.023167986,0.800892651,0.633962274,0.884736836,-0.301588178,0.96936053,0.792770386,0.773784995,0.001013616,0.831252158,0.743862987,0.95437026,-0.335362166,0.982864499
1,0.188786343,0.329834044,0.308894515,0.999998271,0.176794946,0.332449645,0.339430511,0.999994814,0.177793413,0.332886398,0.339429319,0.999992132,0.178669721,0.333991975,0.339262187,0.999994516,0.17168808,0.343319684,0.3115381,0.999998033,0.169186965,0.351169139,0.311558932,0.999998093,0.166539967,0.35967201,0.311504424,0.999998569,0.178868264,0.368190765,0.445980847,0.999990404,0.163308024,0.400975227,0.317613959,0.999998093,0.202240393,0.344421417,0.344410539,0.999989688,0.195895806,0.356791615,0.307230443,0.999995768,0.283791661,0.384386152,0.480053365,0.999906063,0.189714774,0.489084989,0.170155063,0.999998748,0.349600017,0.260535926,0.49925369,0.460183233,0.270530015,0.519380391,-0.001875202,0.99280858,0.343297958,0.052802697,0.39515987,0.452844322,0.390847504,0.421527416,-0.162111253,0.973063171,0.369759589,0.007478563,0.371227503,0.381607622,0.422094256,0.428242654,-0.186461598,0.960239887,0.341206491,-0.010482161,0.341704339,0.386777103,0.424908787,0.404756367,-0.178442761,0.957597554,0.340753943,0.031336658,0.373697996,0.399027854,0.412678331,0.40257138,-0.157887548,0.947881281,0.454966247,0.409725666,0.103782967,0.999938786,0.410617054,0.502544284,-0.103726842,0.999967933,0.680992723,0.283202171,-0.03750091,0.882146955,0.613928199,0.446794391,-0.250535816,0.995946825,0.700823605,0.672828734,0.047931556,0.801481485,0.637784302,0.846759975,-0.280279875,0.991212368,0.692696691,0.720169067,0.05583895,0.79392302,0.632087052,0.889013052,-0.277023762,0.969059825,0.790427268,0.774559081,0.033586618,0.822772682,0.739954352,0.962202847,-0.312357426,0.982383549
1,0.188845724,0.331351846,0.302263081,0.999998271,0.176864773,0.333536923,0.33262822,0.999994814,0.17785491,0.333927512,0.332641184,0.999992192,0.178730205,0.334958732,0.332473963,0.999994516,0.171745092,0.34486872,0.304565012,0.999998093,0.169205979,0.352885455,0.304588377,0.999998093,0.16649048,0.361491412,0.304547369,0.999998569,0.178842008,0.369466424,0.440145403,0.999990642,0.163188875,0.402214497,0.310773194,0.999998152,0.202172399,0.346727163,0.338401318,0.999989927,0.195923656,0.359206855,0.300902814,0.999995828,0.28393203,0.38488692,0.479143709,0.999910891,0.189526066,0.491013408,0.165269285,0.999998748,0.338185906,0.229263291,0.499005556,0.471070915,0.270635188,0.522243142,-0.002887959,0.992193162,0.334862173,0.022288086,0.397933453,0.466693997,0.390723646,0.423965275,-0.168376863,0.972077489,0.340292186,-0.037972629,0.375566274,0.390514165,0.42151624,0.429992706,-0.190955892,0.959411383,0.32968691,-0.046737541,0.344982445,0.396297157,0.424489439,0.406933129,-0.186744541,0.956725776,0.330315083,-0.012997597,0.375737011,0.409477592,0.412451327,0.405040741,-0.165584475,0.946579635,0.455183566,0.410108566,0.105246283,0.999940515,0.410644233,0.502956748,-0.105207384,0.999967813,0.681159616,0.290476531,-0.038027611,0.880967438,0.614148796,0.446196556,-0.244525552,0.995993495,0.700610757,0.674245834,0.068630636,0.798246384,0.635656595,0.848243773,-0.241964146,0.991276145,0.690448344,0.723379254,0.078276388,0.790914118,0.629897535,0.89036864,-0.23583135,0.969010234,0.788247466,0.776761472,0.05518936,0.818080544,0.73761797,0.965779126,-0.270733416,0.982172549
