class,x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32
up,0.382354558,0.316665441,0.27777648,0.999999762,0.373370707,0.318355083,0.30673483,0.999999762,0.373770148,0.31896174,0.306723177,0.999999702,0.374316365,0.319944471,0.306634247,0.999999762,0.370812386,0.323845357,0.279865563,0.999999881,0.36917904,0.328623891,0.279806465,0.999999881,0.367333949,0.334232867,0.279787391,0.999999881,0.37512818,0.349222898,0.406435311,0.999999702,0.366228491,0.36671266,0.277667701,0.999999881,0.392531931,0.330650061,0.311911166,0.999999464,0.389995962,0.335611761,0.274359643,0.999999762,0.443023384,0.387153715,0.408439308,0.999991,0.37930721,0.451892942,0.171689749,0.999999762,0.542330265,0.450778931,0.385903716,0.154430881,0.429317236,0.542512953,0.008715224,0.987035453,0.630287468,0.497113436,0.294194639,0.343462795,0.503270388,0.594498694,-0.163123265,0.969020069,0.657272041,0.510298669,0.281977355,0.351843268,0.524939418,0.636244833,-0.194016561,0.954244792,0.65969491,0.513462484,0.262121618,0.340739697,0.533092558,0.61776042,-0.184794143,0.951135993,0.64802444,0.517240703,0.28174451,0.318532169,0.526109099,0.594074965,-0.160573691,0.938665509,0.558197141,0.358813107,0.08742775,0.999999166,0.515400708,0.42495811,-0.087683715,0.999999285,0.705221057,0.27467525,-0.070640072,0.94718349,0.628520429,0.396447092,-0.252786338,0.997602284,0.70645535,0.554348826,-0.03206747,0.909959197,0.650555313,0.666378975,-0.28578645,0.992800891,0.691370547,0.589846849,-0.025326293,0.911950767,0.630075336,0.686488211,-0.282285541,0.982655764,0.772992849,0.618530691,-0.024594646,0.919374466,0.719677746,0.768481493,-0.277045548,0.984040141
up,0.382246315,0.316651165,0.271777987,0.999999762,0.373250067,0.318354815,0.301405966,0.999999762,0.373656929,0.318965822,0.301411569,0.999999702,0.374199599,0.319948614,0.301341653,0.999999762,0.370669156,0.323848456,0.273904681,0.999999881,0.369081587,0.32862708,0.273844898,0.999999881,0.367269725,0.334235787,0.273838192,0.999999881,0.374997288,0.349394798,0.404398263,0.999999702,0.366199136,0.366859436,0.273757756,0.999999881,0.392448127,0.330628663,0.307520032,0.999999464,0.389987141,0.335657865,0.269236088,0.999999762,0.44304496,0.386983186,0.407661736,0.999990761,0.379281074,0.452196598,0.168988109,0.999999762,0.543364048,0.450620174,0.384878308,0.156637326,0.429431587,0.544491589,0.006501003,0.987712204,0.630261302,0.499090075,0.291885793,0.354629278,0.50362736,0.595346212,-0.16340448,0.970710874,0.657152176,0.51414144,0.279634178,0.363010794,0.525124133,0.63638407,-0.198402151,0.955973446,0.659547865,0.516724348,0.259780437,0.351577193,0.533191502,0.617939055,-0.189307421,0.952950358,0.647877574,0.519396067,0.279523462,0.328038961,0.526372075,0.594114721,-0.161107808,0.940505147,0.559099913,0.35601452,0.087280467,0.999999166,0.516482115,0.424258113,-0.087533213,0.999999285,0.70530355,0.275026381,-0.072378516,0.947409987,0.633228362,0.400055856,-0.260414034,0.99774909,0.707353592,0.554388642,-0.037642602,0.911836326,0.647101283,0.666089892,-0.27663523,0.993099153,0.692263007,0.590743959,-0.030952211,0.913619518,0.628564715,0.688885212,-0.270541847,0.98299551,0.773144245,0.618797779,-0.031527929,0.921743095,0.718528867,0.768501699,-0.267230332,0.984441161
up,0.38225013,0.316625267,0.272265792,0.999999762,0.373247385,0.318356812,0.301821381,0.999999762,0.373652846,0.318970293,0.301826715,0.999999702,0.374188721,0.319966644,0.301756084,0.999999762,0.370660275,0.32385084,0.274114341,0.999999881,0.369080156,0.328615636,0.274051547,0.999999881,0.36727488,0.334193438,0.274040759,0.999999881,0.374962211,0.349710196,0.404455513,0.999999702,0.366224229,0.366855592,0.272970647,0.999999881,0.392455727,0.330608457,0.307820261,0.999999464,0.390037745,0.335651428,0.269305676,0.999999762,0.443098217,0.386782259,0.408221781,0.999990463,0.37935555,0.452194661,0.167135537,0.999999762,0.54365319,0.448284358,0.3855685,0.157045752,0.429706812,0.545368254,0.002406599,0.988208771,0.63020426,0.497867286,0.292588681,0.361304283,0.504494786,0.597134948,-0.169527352,0.97218734,0.657050192,0.513008595,0.281751156,0.3699525,0.525705636,0.637047291,-0.205574036,0.957513392,0.659481287,0.515526772,0.261108935,0.358110905,0.533909619,0.618730426,-0.197607785,0.954592645,0.647774994,0.518191516,0.279973567,0.333705306,0.527280927,0.596487939,-0.168249324,0.942180395,0.560110927,0.356859893,0.087207027,0.999999166,0.518065393,0.424589753,-0.087453514,0.999999285,0.705350995,0.275254875,-0.085009761,0.947939038,0.640662074,0.399155527,-0.262654841,0.997866333,0.708022535,0.554413855,-0.047834706,0.913552999,0.646242261,0.661649346,-0.271728545,0.993331671,0.692227423,0.59141618,-0.040614348,0.915408552,0.628293633,0.689102709,-0.265139997,0.983258486,0.773212552,0.620281756,-0.035968576,0.924008429,0.718790829,0.76834625,-0.265550196,0.984779298
up,0.38217932,0.316620052,0.266950965,0.999999762,0.373138368,0.318385452,0.29608041,0.999999762,0.373533398,0.319018394,0.296090662,0.999999702,0.374051481,0.320034355,0.296037525,0.999999762,0.370578468,0.323878825,0.268164933,0.999999881,0.369035542,0.328625828,0.268095523,0.999999881,0.367260158,0.334195107,0.268084079,0.999999881,0.374786437,0.35011667,0.397930861,0.999999702,0.366220593,0.366895169,0.265556872,0.999999881,0.392395288,0.330593616,0.302390575,0.999999464,0.390027076,0.335644454,0.263654023,0.999999762,0.443129867,0.38649711,0.403870404,0.999990344,0.379975826,0.45224154,0.161812097,0.999999762,0.543644845,0.447111338,0.384152949,0.158382133,0.429730952,0.545527518,-0.005050051,0.988769829,0.629857302,0.497531593,0.293065697,0.367879272,0.505107939,0.597979605,-0.180462301,0.973679721,0.656604409,0.512689173,0.281953454,0.376626015,0.52629751,0.637456179,-0.215563208,0.959158123,0.658759415,0.515081465,0.261740983,0.364452451,0.534303367,0.619426012,-0.208324313,0.956353724,0.647263288,0.517796874,0.280588359,0.339511603,0.527803063,0.597099304,-0.179636091,0.944139421,0.562591314,0.356317639,0.087121934,0.999999166,0.52116847,0.424051166,-0.087376766,0.999999285,0.705355763,0.276911795,-0.092343792,0.948300779,0.643469691,0.398505092,-0.26472491,0.997966826,0.708521426,0.555994809,-0.051236399,0.914802015,0.647064388,0.660206735,-0.273282796,0.993579924,0.692710102,0.593312979,-0.043799914,0.91645658,0.630413771,0.689987957,-0.265808642,0.983526349,0.773550212,0.621159494,-0.043408729,0.926033318,0.719699502,0.769310176,-0.268238515,0.985274971
up,0.382176399,0.316618681,0.267721355,0.999999762,0.373074263,0.31848821,0.296543777,0.999999762,0.373461664,0.319152951,0.296547472,0.999999702,0.373970151,0.320191175,0.2964845,0.999999762,0.370518506,0.32393086,0.268752038,0.999999881,0.3689906,0.328650355,0.268681586,0.999999881,0.367233276,0.334203452,0.26865834,0.999999881,0.374606192,0.350782156,0.396263331,0.999999702,0.366208076,0.366982549,0.264787406,0.999999881,0.392400682,0.330579579,0.302458614,0.999999464,0.390036345,0.335639209,0.263947189,0.999999762,0.443168938,0.387097001,0.399102151,0.999989867,0.379952163,0.452561557,0.161346093,0.999999762,0.543636441,0.448427558,0.375916362,0.160323992,0.429762304,0.545510352,-0.004547209,0.989220381,0.629330397,0.502684772,0.28550595,0.373323739,0.50501883,0.598091304,-0.181346029,0.974809945,0.655978084,0.519113779,0.273150384,0.381854981,0.52629602,0.637542129,-0.215550825,0.960264444,0.657818139,0.521200597,0.254599392,0.369506389,0.534276962,0.620058596,-0.207718343,0.957519293,0.646369278,0.523290455,0.273602068,0.343738973,0.527790785,0.598058879,-0.180125505,0.945325851,0.563543439,0.361490607,0.087012962,0.999999166,0.521195292,0.424232274,-0.087255746,0.999999285,0.705612779,0.277185917,-0.092509255,0.94770813,0.640591264,0.396174788,-0.262353361,0.99807483,0.706962466,0.556590259,-0.049744867,0.915924788,0.647986293,0.661090314,-0.27059269,0.993872881,0.691732049,0.592111945,-0.042002596,0.917909443,0.629575372,0.68990171,-0.263965338,0.984125733,0.772572398,0.621513665,-0.041426964,0.927195787,0.720056117,0.769477129,-0.266761035,0.985646427
up,0.382175088,0.316743761,0.273077428,0.999999762,0.373074293,0.318726152,0.301870018,0.999999762,0.373462498,0.319409251,0.301872581,0.999999702,0.373970926,0.320447356,0.301808387,0.999999762,0.370515645,0.324099183,0.274070263,0.999999881,0.368989021,0.328757763,0.274000257,0.999999881,0.36723879,0.334263325,0.273971617,0.999999881,0.37460345,0.35107103,0.400406599,0.999999702,0.36623764,0.367079437,0.268923938,0.999999881,0.392405838,0.330711693,0.307268441,0.999999464,0.390040576,0.335774034,0.268778026,0.999999762,0.443301201,0.387566745,0.402607441,0.999989688,0.379649639,0.452774048,0.162994727,0.999999762,0.54353416,0.44843486,0.376343429,0.163513899,0.429853439,0.545499504,-0.00347745,0.989540696,0.628088117,0.503649592,0.286231875,0.381620377,0.504990458,0.598079085,-0.181647524,0.975896299,0.654505789,0.520502865,0.274113804,0.389931351,0.526180565,0.637519121,-0.215953186,0.961478889,0.655989468,0.522496283,0.255090475,0.377310932,0.534139216,0.620048165,-0.207928896,0.95879966,0.644652724,0.524352252,0.274149269,0.350681305,0.527709305,0.598057866,-0.180338338,0.946681082,0.564878881,0.368124962,0.087036699,0.999999166,0.520684838,0.425369143,-0.087266125,0.999999285,0.705619335,0.276855201,-0.094041921,0.94732672,0.642907798,0.389739335,-0.265856564,0.998165131,0.70601505,0.557198584,-0.05062788,0.916599691,0.64808929,0.661121547,-0.271029681,0.994093239,0.690619767,0.592710435,-0.042742871,0.918850183,0.628775775,0.689650059,-0.26531899,0.984566212,0.771918774,0.62163645,-0.042866819,0.928001463,0.720059216,0.769529283,-0.269889176,0.98591125
up,0.382179469,0.317123443,0.278194994,0.999999762,0.373077899,0.319140494,0.306997895,0.999999762,0.373470008,0.319802642,0.307002962,0.999999702,0.373980135,0.320792884,0.306937754,0.999999762,0.370512635,0.324469149,0.278654993,0.999999881,0.36898607,0.32908076,0.278586864,0.999999881,0.367237538,0.334559053,0.278559387,0.999999881,0.374604046,0.351148546,0.405834347,0.999999702,0.366235435,0.36737442,0.272068292,0.999999881,0.392443359,0.330992311,0.312561929,0.999999464,0.39004907,0.336071283,0.273415387,0.999999762,0.44321838,0.387594819,0.410637558,0.999989808,0.378613114,0.453113765,0.163182378,0.999999762,0.543354154,0.448554486,0.39029938,0.166006386,0.429725349,0.54589045,-0.003224083,0.99002707,0.627766013,0.503664911,0.302764475,0.390018344,0.504823089,0.598067999,-0.183169886,0.977240086,0.654424429,0.520439386,0.292228311,0.398008525,0.52603519,0.63750726,-0.217297554,0.963099122,0.655880094,0.522476852,0.273713499,0.384836048,0.53405273,0.620009005,-0.209090233,0.960498929,0.644466043,0.524357796,0.291091383,0.357382685,0.52757895,0.598004758,-0.1816407,0.948595762,0.566886067,0.374303162,0.088952206,0.999999166,0.522457242,0.425933093,-0.089185514,0.999999285,0.706911862,0.277091295,-0.082724519,0.946074903,0.652049482,0.38430813,-0.265234947,0.998253822,0.706131339,0.55874151,-0.039057001,0.917662978,0.648490489,0.654226959,-0.271423161,0.99431771,0.690655947,0.593421459,-0.03155164,0.920322835,0.629667103,0.689627707,-0.265837967,0.985093713,0.772849917,0.622769773,-0.027763316,0.929074645,0.720318854,0.770356953,-0.266325533,0.986227989
down,0.378941029,0.315121919,0.22166124,0.999999762,0.370388955,0.319541812,0.246504232,0.999999762,0.371127546,0.320472598,0.246433944,0.999999702,0.371852219,0.321783423,0.246338844,0.999999762,0.367595673,0.325595886,0.223789573,0.999999881,0.366275936,0.330644101,0.223698586,0.999999881,0.364740938,0.336220592,0.223667145,0.999999881,0.373788774,0.351468086,0.340435266,0.999999702,0.363386333,0.367144972,0.232736304,0.999999881,0.390643328,0.32693845,0.25458014,0.999999285,0.387250453,0.332798809,0.223012879,0.999999762,0.454970509,0.379118234,0.367570788,0.999985695,0.386190385,0.455255598,0.138558462,0.999999762,0.541268647,0.445439905,0.353664905,0.119620271,0.443158329,0.549013078,-0.002288367,0.975857496,0.63357532,0.491687655,0.271728784,0.246089235,0.507290244,0.605220318,-0.163299903,0.972855389,0.659834087,0.513949633,0.258639395,0.248085454,0.529405713,0.652220905,-0.193106204,0.965486705,0.658205807,0.517113745,0.235686898,0.236209899,0.537696123,0.634954691,-0.188180208,0.96339339,0.649935126,0.520578206,0.257422924,0.236474544,0.531385362,0.615766466,-0.16298686,0.954394042,0.604264677,0.46466589,0.077511512,0.999998927,0.552985728,0.527910173,-0.077488497,0.999999046,0.691027761,0.296375394,-0.081720948,0.951751947,0.602421463,0.418801785,-0.243669584,0.99646008,0.708559871,0.559491217,-0.058284063,0.899941742,0.649516702,0.673406661,-0.260681361,0.992793262,0.696475625,0.5962286,-0.055132199,0.884304166,0.639136374,0.698132634,-0.255953848,0.969645143,0.779128432,0.634042501,-0.088586032,0.928033054,0.724684298,0.76534009,-0.308717191,0.987662017
down,0.378736198,0.315180451,0.223103687,0.999999762,0.370169044,0.319984972,0.247917697,0.999999762,0.370907664,0.320976466,0.247841805,0.999999702,0.371616125,0.322332293,0.247742012,0.999999762,0.367299676,0.32603243,0.224811122,0.999999881,0.365989715,0.331020385,0.22472474,0.999999881,0.364475131,0.33656767,0.224688381,0.999999881,0.373603851,0.351495862,0.341014683,0.999999702,0.363139272,0.367166072,0.232670516,0.999999881,0.390330613,0.327107072,0.255636632,0.999999285,0.386932552,0.332940251,0.223686025,0.999999762,0.454924405,0.379064649,0.368621379,0.99998486,0.386357486,0.455072135,0.13846305,0.999999762,0.540490329,0.44553709,0.35661304,0.118119404,0.442778766,0.548945665,0.001700137,0.974950671,0.630865574,0.49076283,0.271269053,0.238606051,0.507698596,0.605312407,-0.157068193,0.970786691,0.658030152,0.510654032,0.257694781,0.241845369,0.529630065,0.652519703,-0.185922638,0.963596821,0.65391922,0.51528132,0.233897001,0.230132386,0.538173676,0.63527745,-0.181474164,0.961463928,0.644319415,0.512387216,0.256478816,0.231529742,0.53168571,0.616307795,-0.156755477,0.952450216,0.604439735,0.46395722,0.076819085,0.999998808,0.552937508,0.527944624,-0.076800846,0.999998927,0.691199481,0.296336174,-0.080784321,0.953637242,0.602564692,0.417980641,-0.240324378,0.996383488,0.708598197,0.560664952,-0.059502713,0.900727391,0.649609923,0.673318923,-0.259725481,0.992455304,0.697207928,0.598371923,-0.057413466,0.883510649,0.638878465,0.699056864,-0.25545913,0.967824221,0.780201554,0.634105086,-0.09067782,0.927888036,0.723946691,0.767704785,-0.304611981,0.98719734
down,0.378578693,0.315184802,0.208944991,0.999999762,0.369907826,0.320319772,0.23305729,0.999999762,0.370617539,0.321334869,0.232970715,0.999999702,0.371278465,0.322689414,0.232866004,0.999999762,0.367013156,0.326405406,0.210262507,0.999999881,0.365711898,0.331351727,0.210176706,0.999999881,0.364204228,0.336921364,0.210126191,0.999999881,0.373213142,0.351492137,0.325160235,0.999999702,0.362793297,0.36716643,0.218659282,0.999999881,0.390086651,0.327118129,0.241185457,0.999999225,0.386710942,0.332963437,0.209689617,0.999999762,0.454694748,0.378748804,0.35453108,0.999983549,0.386395037,0.454658687,0.125747651,0.999999702,0.539339721,0.445334643,0.343924731,0.115325779,0.44262141,0.548903346,-0.003985363,0.973570406,0.630761743,0.486399382,0.259601891,0.229922965,0.50766933,0.605304658,-0.166190177,0.968730092,0.657874942,0.506340802,0.247344211,0.233808011,0.529617429,0.652465999,-0.194822341,0.961662889,0.654154539,0.513939798,0.221651763,0.222276583,0.538258195,0.635177076,-0.190445006,0.959478617,0.64469254,0.508892775,0.244175717,0.224764705,0.531699777,0.616268456,-0.165860042,0.950440288,0.604222476,0.464367777,0.075676754,0.999998689,0.552978516,0.528954923,-0.075683698,0.999998808,0.690707147,0.296254307,-0.05990658,0.955049932,0.603263974,0.416464716,-0.224156022,0.996249795,0.709031701,0.558486164,-0.058474034,0.901590705,0.647093177,0.67318958,-0.251055628,0.992123067,0.698221505,0.595959067,-0.053411532,0.881864786,0.635082662,0.698906839,-0.248012275,0.96554184,0.781110406,0.634082496,-0.084195383,0.927999675,0.72183603,0.76838249,-0.299412012,0.986744225
